Location, String_Value,String_representation,Data_type

00405c5d,加速誘導弾投下精密射撃開始高速弾解除絶妙!!!!!!!!!!,"加速誘導弾投下精密射撃開始高速弾解除絶妙!!!!!!!!!!",ds
00405c93,臆病者向け 30発,"臆病者向け 30発",ds
00405ca3,調子に乗って 100発,"調子に乗って 100発",ds
00405cb6,怒濤の 200発,"怒濤の 200発",ds
00405cc7,省略,"省略",ds
00405cd0,背景,"背景",ds
00405cd5,他のプロセスと協調する,"他のプロセスと協調する",ds
00405cec,なんとなく80フレーム/秒,"なんとなく80フレーム/秒",ds
00405d04,勢い余って全速力,"勢い余って全速力",ds
00405d15,Enterで特訓開始,"Enterで特訓開始",ds
00405d2a,生存時間 %d.%03d秒,"生存時間 %d.%03d秒",ds
00405d25,失格,"失格",ds
00405d3d,活動時間 %d.%03d秒,"活動時間 %d.%03d秒",ds
00405d50,弾数 %d発,"弾数 %d発",ds
00405d5a,絶妙度 %d%%,"絶妙度 %d%%",ds
